"","number","joy_level","ice_cream_consumption"
"1",1,9.37172582140192,3.07442307503273
"2",2,5.5349927698262,1.42110786587
"3",3,0.0726263923570514,0.165169479480634
"4",4,4.14406847441569,1.22407682038223
"5",5,9.85292989062145,4.19712067286794
"6",6,1.73585334559903,1.18949143169448
"7",7,0.528328767977655,0.487269279236595
"8",8,6.21062742546201,3.00894192652777
"9",9,3.00436870660633,0.474809572566301
"10",10,6.63488307502121,2.39399816297616
"11",11,6.60945100244135,1.29429708824803
"12",12,8.30205678008497,1.78133027845373
"13",13,6.48860697401688,1.78331472336625
"14",14,0.88729007402435,0.542652765288949
"15",15,8.8077812641859,3.52502796255673
"16",16,9.94530770694837,3.1949879086266
"17",17,9.48619078611955,3.82310853246599
"18",18,4.83053202275187,0.784607287496328
"19",19,8.7431722250767,2.24037746790176
"20",20,5.1655209553428,2.49716137365128
"21",21,4.2238792986609,0.827015230897814
"22",22,3.15296305576339,0.975071630130212
"23",23,5.58951138518751,2.37028436269611
"24",24,4.16224089451134,0.514501775925358
"25",25,1.42974968999624,1.47574282685916
"26",26,0.27719632955268,0.862830226464818
"27",27,5.61606492614374,1.20899340324104
"28",28,0.113530943635851,1.03188239177689
"29",29,4.4202753319405,1.92877100904783
"30",30,2.76328521315008,0.671401508773367
"31",31,0.235847376752645,0.645405392938604
"32",32,7.89516779361293,3.24024048773572
"33",33,7.10612930357456,1.4039915149721
"34",34,2.4549632309936,1.7532770143201
"35",35,4.31433373363689,1.22238891090577
"36",36,7.42625646293163,2.47363738901913
"37",37,6.1246882006526,2.32058617503693
"38",38,2.53698467742652,0.826011918485165
"39",39,1.82301618391648,0.835839116945863
"40",40,9.26781339105219,2.90372237501045
"41",41,0.501166749745607,0.6781726142702
"42",42,2.64781665755436,1.636357958739
"43",43,3.94764265511185,0.361602521656702
"44",44,6.05036362074316,2.42906335787848
"45",45,4.65852689463645,1.1879053513209
"46",46,2.51680521992967,1.34884051497405
"47",47,2.64976159436628,0.593759517961492
"48",48,2.83010120736435,1.85082412837073
"49",49,3.46004845574498,1.35197753226385
"50",50,2.46459084562957,0.908045559500655
"51",51,3.87458515353501,1.32858092555155
"52",52,1.90715643111616,0.458682847209275
"53",53,8.46325877588242,2.42690638499334
"54",54,7.12192265549675,2.70083945058286
"55",55,2.03771329019219,0.801294433418661
"56",56,0.971844971645623,1.04759011293451
"57",57,5.52065917756408,2.48025356279686
"58",58,6.01651598699391,2.82717581326142
"59",59,6.77092368714511,2.31867437887316
"60",60,6.75002615666017,2.36902660488461
"61",61,1.29984249826521,0.427181647780041
"62",62,0.51837056176737,0.263532748135428
"63",63,9.63497585617006,3.75562053949883
"64",64,6.3192266272381,2.65490457306926
"65",65,3.05554909864441,0.743533938036611
"66",66,8.45184962498024,2.41852614687135
"67",67,4.62284752866253,1.96337494642163
"68",68,1.05976223479956,0.899796617062141
"69",69,9.51777479844168,3.91788559205209
"70",70,1.50938369799405,0.195678653971603
"71",71,2.90337353479117,0.287239125464112
"72",72,3.88762224698439,2.11558053114762
"73",73,9.81149385683239,3.70069072550784
"74",74,9.85977313714102,3.89499412073443
"75",75,8.02014970453456,3.33839523497348
"76",76,4.1479247668758,1.17057625033582
"77",77,8.17696471465752,2.34036501605685
"78",78,5.59585224371403,1.25001817538093
"79",79,6.32898933952674,2.52392449478308
"80",80,0.0335953989997506,0.538625674943129
"81",81,1.17841458646581,1.25982180532689
"82",82,5.63110766466707,2.49210410083955
"83",83,1.64740934967995,0.273299322153131
"84",84,5.51144364289939,1.32315543216343
"85",85,8.56396884890273,1.99476318402837
"86",86,5.88871367042884,2.07838053923721
"87",87,3.52189215132967,1.63839175536608
"88",88,9.8791978135705,3.53100119360412
"89",89,3.31705910386518,0.655619390774518
"90",90,2.6341049047187,0.125899768744906
"91",91,6.65815310785547,2.41866642081489
"92",92,1.15485036978498,0.288107701111585
"93",93,5.47611373942345,2.00203150386612
"94",94,9.99504321720451,3.43015634982536
"95",95,9.21629517804831,2.87354960913459
"96",96,5.39061926770955,1.10654247257238
"97",97,8.16628761356696,2.05573771412795
"98",98,8.24338556732982,2.84861983715867
"99",99,2.76638909010217,1.63440984068438
"100",100,6.6383834858425,2.63124946737662
